,document,number,content,meeting,topic_four,original label,meeting_number
text445,WCPFC7-2010-OP06,5,implement an immediate and necessary 50 reduction in tuna fishing effort across the entire wcpo fisheries based on the average 20012004 levels,WCPFC7,bycatch,fishing_mortality,7
text446,WCPFC7-2010-OP06,6,support canadas proposal on establishing a formal process that ngos can submit compliance information to the technical and compliance committee,WCPFC7,transparency,data_research,7
text447,WCPFC7-2010-OP06,8,delivered by lagi toribau oceans team leader greenpeace australia pacific,WCPFC7,bycatch,precautionary_approach,7
text448,WCPFC8-2011-OP01,1,commission eighth regular session tumon guam usa 30 march 2012 ofads request for amendments to the wcpfc8 wcpfc8 2011op01,WCPFC8,strategy,session,8
text449,WCPFC8-2011-OP01,3,711 rev 101311 ofads request for amendments to the wcpfc8 ocean friends against driftnets ofad was formed to alert and educate the public about the destruction from ongoing international driftnet activities ofad consists of over 140 msc certified sustainable albacore tuna troll pole stakeholders fishermen guardians active in both the north and south pacific ocean our goal is to teach establish sustainable fishing methods internationally and promote the benefits of a worldwide ban on high seas driftnets infooceanfadorg submitted to the wcpfcs 8th regular session wcpfc8 in koror palau on dec 5th 9th of 2011 written by ofad president john harder ofad requests to the wcpfc the following amendments amend cmm200702 commission vessel monitoring system amend cmm200804 conservation and management measure to prohibit the use of large scale driftnets on the high seas in the convention area to wcpfc8 ofad would like to start by expressing its sincere gratitude to the commission for accepting ofad as an observer to this commission it hopes to serve you well ofad would also like to express that it has stakeholder ship in the taking of albacore tuna stocks in the pacific and may be considered as a fishing entity as ofad is currently made up wcpfc82011ob01 of us stakeholders its intent and nature is universal with stakeholder status it intends to exercise its rights to freedom of the high seas in understanding the objective of the convention is to ensure through effective management the longterm conservation and sustainable use of highly migratory fish stocks in the western and central pacific ocean in accordance with the 1982 united nations convention on the law of the sea and the 1995 un fish stocks agreement ofad humbly requests that the commission review and adopt changes to cmm200702 commission vessel monitoring system in regards to with respect to the area north of 20n and west of 175e the system will be activated at a date to be determined by the commission ofad suggests it to be activated on the date of january 1st 2012 for the following reasons in view of the law of the sea article 119 conservation of the living resources of the high seas part 3 states concerned shall ensure that conservation measures and their implementation do not discriminate in form or in fact against the fishermen of any state ofad feels that using 175e as a dividing point of origin to determine vessels with or without vms is discriminating against states from the east to states from the west as state vessels from the west of the ca can enter the ca without activating vms as opposed to state vessels from east of the ca must activate vms as soon as they enter the ca and must keep vms active even after leaving the ca the adoption of the commission vms regarding east and west of 175e north of 20n is not consistent with the law of the sea article 119 part 3 and therefore should be amended noting that from the year 2001 to the present time of 2011 99 of all iuu largescale driftnet sightings have come from this northwest quadrant of the ca which has not yet been activated if anything this area should be considered as under high surveillance and should be the 1st in the ca to be active with vms,WCPFC8,governance,governance,8
text450,WCPFC8-2011-OP01,4,in the documents of 2005 2006 report of the secretary of commerce to the congress of the united states concerning us actions taken on foreign largescale high seas driftnet fishing pursuant to section 206e of the magnusonstevens fishery conservation and management act as amended by public law 104297 the sustainable fisheries act of 1996 all vessels were sighted west of 175e,WCPFC8,governance,governance,8
text451,WCPFC8-2011-OP01,5,during the nc meeting in sapporo japan this last september 2011 uscg was apprehending the fv bangun perkasa for iuu fishing with largescale driftnets the vessel was captured inside this same northwest quadrant this cmm was originally adopted as cmm200606 with this exception to the rule it is now 2011 and the area is still exempt states that appose have enjoyed 5 years of exemption to prepare their nationals to abide by vms ofad would like to know why it is taking so long as 1 year of exemption is considered too long ofad suspects foul play this should be unacceptable in terms of fairness and conservation management ofad requests the commission to revisit and consider adopting new amendments to cmm04 conservation and management measure to prohibit the use of large scale driftnets on the high seas in the convention area ofad asks that the commission strike out largerscale from this cmm for the following reasons considering that this year is the 20th anniversary of the un moratorium on high seas driftnets as adopted in 1991 and also the 10th year anniversary on the return of largescale high seas driftnets in the wcpfcs ca that have been detected and reported by the wcpfcs only certified sustainable tuna troll and pole fishery in 1998 before this commission was formed there were 5070 vessels fishing sustainably for albacore tuna inside the ca of the wcpfc in both north and south pacific in 2001 albacore tuna trollers reported sighting large scale driftnet vessels and detecting driftnet markings scratches on their diminishing catches of albacore tuna by 2005 there was only a hand full of sustainable albacore tuna trollers left fishing in the wcpfcs ca as the minimum sustainable yield dropped way below 1 ton per day this sustainable fishery inside the ca was allowed to perish from 2005 to the present time of west coast albacore troll and pole fishermen continued to detect driftnet marked albacore in their caches making 2010 the highest year ever since 1988 please permit ofad to resubmit a report presented to the wcpfc7 in honolulu ha december 2010,WCPFC8,governance,governance,8
text452,WCPFC8-2011-OP01,6,high seas driftnets still prevail over sustainable tuna fisheries to nmfs noaa wcpfc united nations 111710 from fv ocean joy us doc 554321 captain john harder co founder of ocean friends against driftnets ofad summary of 2010 north pacific albacore troll season before setting out for fishing this season i john harder tried to pass on to nmfs and the coastal commission that high seas driftnets are still fishing for albacore tuna in the north pacific i have been reporting illegal driftnet activity for the past 10 years with pictures of gill net marked fish boat sightings on our international fishing grounds trip 1 we left san diego on the 26th of june for fishing on the 30th of june we landed our 1st of many gill net marked fish the fish were averaging 15 lbs these were well marked fish that would indicate targeted in 2009 picture marked a after moving north to the area of 45n x w approximately 70 miles off the coast of oregon school fish averaging 1012 lbs started showing up with both heavy to light gill net markings on them pictures bg these gill net markings were fresh and indicate driftnet activity done earlier this year the fish were not old enough to be marked in years past they are only average 2 years old many fish were scuffed up with broken fins tails we landed gill net marked fish every day we ended our trip on the 26th of july i tried notifying nmfs to arrange for an observer but to no avail i submitted my log information hoping that it would be addressed at the technical compliance comity for the wcpfc it was not brought forward trip 2 we left westport wa on the 30th of july for off shore approximately 800 miles west of the coast in the area of 4730n x 14330w we started catching fish again these fish were sometimes heavily marked by high seas driftnets we averaged 20 marked fish for the trip many of the 12 lb fish had light scratches were barely visible to the untrained eye the schools of fish were not staying in the same location but migrating into the east towards the west coast we ended our trip into westport wa on the 26th of august i submitted many pictures along with my log information hoping that it would be addressed at the technical compliance committee for the wcpfcit was ignored trip 3 we set out for offshore once again on the30th of august only to get stopped in the approximate area of 4730n x 139w for fishing the 1213 lb avg fish we were landing were relatively clean we had very few gill net marked fish and a more uniform size in the grade this was obviously a different run of fish moving east towards the coast we heard reports of a bigger run of fish being landed in the area of 4430n x 128w inside us eez with a major amount of fish having gill net markings on them the avg size of this fish was 12 lbs as i had suspected the fish from offshore on the previous trip had migrated into the coastal waters and was now spreading up down the west coast i talked with canadian aircraft boarder patrol on the 9th of september canadian patrol was not aware of any driftnet vessels sighted previously this year most of the driftnet marked fish landed this trip were in the 1517 lbs size we ended our trip on the 26th of september in westport wa i sent pictures of gillnet marked fish along with my log information to nmfs hoping that it would be addressed at the technical compliance committee for the wcpfc nothing was mentioned trip 4 we left westport on the 29th of september for fishing on the coast on october 3rd we landed driftnet marked fish in the area of 4230n x 12620w these fish avg 1517 lb we were only 70 miles off the coast of northern california i am submitting 9 pictures with this letter log information to nmfs pictures 18 i understand that the technical compliance meeting has already taken place which does not seem appropriate unless people are trying hard to avoid this situation in which case is convenient i will be making this letter public bring it with me to the wcpfc in ha in dec conclusion time time again we have proven with our us tagging programs for albacore tuna that stocks of albacore generally migrate east west across the north pacific i personally have followed schools of fish starting in the area of 163e 153w along the 44n latitude in a matter of 12 days this is old news to high seas troll fishermen such as me there have been reports of good fishing in early may june of this year by japanese vessels if so they must have witnessed some high seas driftnet activity in their area or they are driftnet vessels themselves how ells do these migrating fish get driftnet marks i ask gillnetters what is the reward for your gillnet tagged fish where did you tag your gillnet fish is this incomplete data going to continue please stand be recognized we all must fish fairly maybe i should be asking our us state department or chicken of the sea my fishery in international waters has been eliminated my coastal fishery is being depleted again the north south pacific albacore stocks should belong to sustainable hook line fisheries not driftnets thanks for your time attention in this matter regards john harder captainowner of fv ocean joy in further consideration ofad requests the commission to view wcpfctcc72011ob04 to better understand that more stringent measures must be made and adopted to protect its natural recourses and sustainable fisheries as facts presented show the un moratorium on high seas driftnets has not deterred the iuu driftnet fishery this other fishery continues to keep its market share driving the price of albacore tuna down and depleting the natural recourses along with wcpfcs sustainable tuna fishery in conclusion revisiting the issue of the law of the sea article 119 conservation of the living resources of the high seas part 3 states concerned shall ensure that conservation measures and their implementation do not discriminate in form or in fact against the fishermen of any state further noting that the wellington convention seeks to prohibit driftnet fishing activities in its convention area ofad feels that the wcpfcs ca should coincide with this ruling as it stands fishermen coming from states in the south pacific such as new zealand have more protection against high seas driftnets than fishermen coming from states in the north pacific such as canada this is clearly a form of discrimination and therefore should be amended and noted as such in closing ofad thanks the commission members of the wcpfc8 in considering these amendments and hopes that the proper attention will be given to these matters it hopes that wcpfc will project a positive report to the united nations on the status of its sustainable fisheries in the future regards to all ofad president john harder,WCPFC8,governance,governance,8
text453,WCPFC8-2011-OP03,1,commission eighth regular session tumon guam usa 30 march 2012 issf position statement wcpfc82011op03,WCPFC8,strategy,session,8
text454,WCPFC8-2011-OP03,3,issf position statement presented during the 8th regular session of the western and central pacific fisheries commission guam 2630 march 2012 the international seafood sustainability foundation issf is a global partnership among the tuna industry science and wwf the global conservation organization our mission is to work toward the sciencebased conservation and management of tuna stocks and the protection of ocean health by supporting regional fisheries management organizations and advocating for the recommendations of each organizations scientific advisory body issf would like to thank the western and central pacific fisheries commission for the opportunity to present this position statement supporting decisive action based on the research compiled by the wcpfc scientific committee background bigeye according to an updated assessment completed in 2011 and reported to the 7th regular session of the wcpfc scientific committee sc7 the fishing mortality for bigeye tuna is well in excess of the maximum sustainable yield msy level average f 20062009 is about 41 higher than fmsy analyses presented by spc at sc7 indicate that cmm 200801 has been unable to limit the total amount of purse seine fishing effort as intended while the catch of bigeye has been reduced during the months of the fad closure in cmm200801 it is evident that such a seasonal reduction is insufficient to stop overfishing of the stock in the near future given the overall annual level of fishing effort other fisheries need to be limited as well projections made with alternative management scenarios presented by spc at tcc7 indicate that closures of the entire purse seine fishery would have somewhat greater conservation benefits for bigeye although the catches of skipjack and yellowfin would be reduced yellowfin and skipjack the populations of yellowfin and skipjack in the wcpo are not estimated to be in an overfished state nor are they being overfished however it should be noted that in the equatorial region where about 90 of the yellowfin catch is taken the stock may be fully exploited for this reason it is desirable to limit fishing mortality on yellowfin in the western equatorial region furthermore the skipjack continues to experience high exploitation rates and several ccms have expressed worry about possible range contractions if fishing mortality were to increase sc7 recommended that the commission consider developing limits on fishing for skipjack to limit the declines in catch rate associated with further declines in biomass action needed wcpo closures as stated above it is clear that a seasonal fad closure is insufficient to reduce the fishing mortality of bigeye to fmsy or below in the short term the wcpfcs monitoring and observer programs including debriefing are not sufficiently developed to ensure that the fad closure is fully respected furthermore the many exemptions present in cmm200801 allow for a substantial amount of fad fishing and fishing by gears other than purse seining contributes to overfishing recognizing this issf urges the wcpfc to implement a complete closure of the purse seine fishery in lieu of a fad closure1 as indicated above such a closure would have somewhat greater conservation benefits httpissfoundationorg20110115resolution1102wcpfcpurseseinetunacatches accrued to bigeye tuna and particularly if coordinated with similar closures in the iattc convention area increased ease of monitoring and control of the measure at the same time the longline fishery for bigeye needs to continue to be capped further issf urges individual participating states to collaborate with each other in order to plan for a voluntary complete purse seine closure that will reduce fishing mortality on bigeye tuna should the wcpfc fail to adopt such a meaningful bigeye conservation measure issf will revisit this issue at its next board of directors meeting following the 8th regular session of the wcpfc with a view to formulating and adopting its own scientific conservation measures necessary to ensure the conservation of the bigeye tuna resource in the wcpo transshipments at sea issf is concerned that if not properly monitored atsea transshipments can create a fertile environment for iuu fishing activities to go undetected for this reason issf has issued a conservation measure that calls upon processors traders importers transporters and others involved in the seafood industry to refrain from transactions with purse seine vessels that transship atsea including archipelagic waters and eezs wcpfcs regulation of transshipment in the convention area allows for differences in the regulation of transshipments between archipelagic waters on the one hand and eezs and the high seas on the other in the event that archipelagic waters of a wcpfc member are not covered by a comparable transshipment regulation issf urges states to take compatible measures to regulate monitor and report transshipments in those waters vessel registry and capacity limitation the first step towards managing capacity is to establish limited entry via a closed vessel registry after which reductions in the number of vessels can be negotiated in a fully exploited fishery coastal states rights to expand their participation in a tuna fishery must be accommodated by mechanisms for reducing the participation of others issf calls upon the wcpfc and member nations to develop a record of tuna fishing vessels with unique identifiers2 eg imo numbers and to adopt a limited entry closed vessel registry with an eye towards ultimately reducing the number of fishing vessels to a level that is commensurate with the productivity of the wcpo fisheries to that end issf supports both japans wcpfc7 proposal to limit further increases in purse seine capacity and the kobe iii call for a freeze in fishing capacity by developed fishing nations and creating mechanisms to transfer capacity to those developing countries with aspirations continued progress on sharks issf recognizes the important joint efforts of the wcpfc scientific committee secretariat and spc to improve fishery statistics on sharks that would allow for their management by the commission on a speciesbyspecies basis issf encourages ccms to make this issue a priority issf strongly supports the sc7 recommendation to adopt mitigation measures for oceanic whitetip sharks in the convention area and blue sharks in the north pacific in addition issf urges the commission to mandate that fins remain naturally attached for any sharks retained onboard issf is also asking all rfmos including the wcpfc to adopt a prohibition on deliberate purse seine setting around whale sharks reference points though seven years have passed since the convention entered into force the commission has yet to adopt any reference points in accordance with article 6 despite some progress at the scientific level towards the study of potential reference points issf is disappointed with the lack of forward movement at the policy level highlighted by the tcc7s inability to recommend any action issf urges ccms to give this matter a high priority in 2012 this includes participation in the global consolidated list of authorized vessels clav,WCPFC8,bycatch,fleet_capacity,8
text455,WCPFC8-2011-OP04,1,commission eighth regular session tumon guam usa 30 march 2012 pew policy statement wcpfc and covering letter wcpfc8 2011op04 march 2012,WCPFC8,strategy,session,8
text456,WCPFC8-2011-OP04,3,2005 market street suite 1700 philadelphia pa 19037077 1 2155759050p e street nw 10th floor washington dc 20004 1 2025522000p,WCPFC8,governance,fleet_transparency,8
text457,WCPFC8-2011-OP04,8,i am writing on behalf of the pew environment group in regards to the discussions that will take place at the upcoming 8th regular session of the western and central pacific commission wcpfc in guam as you know the wcpfc convention area covers nearly 20 of our planet and is home to the worlds largest tuna fishery wcpfcs actions this year can ensure that these critically important fisheries are managed responsibly into the future,WCPFC8,strategy,session,8
text458,WCPFC8-2011-OP04,9,wcpfc 8 offers an opportunity for wcpfc members to adopt effective conservation and management measures that end and prevent overfishing for tunas protect vulnerable shark species and strengthen controls against iuu fishing our attached policy statement contains the details of what we believe wcpfc delegates should aim to accomplish at this meeting,WCPFC8,bycatch,bycatch,8
text459,WCPFC8-2011-OP04,10,this year we also made a short video featuring pews policy experts and footage from the region click on the image below to watch pews wcpfc 8 video,WCPFC8,bycatch,fleet_capacity,8
text460,WCPFC8-2011-OP04,11,in particular the pew environment group calls on members of wcpfc to take the following actions at the 8th regular session of the commission,WCPFC8,strategy,session,8
text461,WCPFC8-2011-OP04,12,end overfishing and implement the precautionary principle with new conservation measures for tropical tunas o adopt a new conservation and management measure cmm for tropical tunas that effectively ends over fishing of bigeye tuna o adopt a cmm on fish aggregating devices fads to manage their use and provide scientists with data o establish target and limit reference points for tropical tunas o strengthen the wcpfc compliance regime for cmms,WCPFC8,bycatch,fleet_capacity,8
text462,WCPFC8-2011-OP04,13,adopt conservation measures to protect sharks o prohibit the retention of oceanic whitetip sharks and establish concrete precautionary catch limits for north pacific blue sharks o mandate gear modifications such as the compulsory use of single monofilament nylon traces to protect sharks o prohibit purse seine vessels from intentionally setting nets around whale sharks o prohibit the removal of shark fins at sea to improve enforcement of the shark finning ban,WCPFC8,bycatch,bycatch,8
text463,WCPFC8-2011-OP04,14,strengthen controls against illegal unreported and unregulated iuu fishing o improve port state measures to deter iuu fishing activities o require unique vessel identifiers for all vessels operating in the wcpfc area,WCPFC8,transparency,fleet_transparency,8
text464,WCPFC8-2011-OP04,15,we would also like to point your attention to the closing the gap report which compares tuna rfmo port state measures with those established by the port state measures agreement the need for such an analysis was highlighted during discussion at the technical and compliance committee 7 meeting last year in order to progress implementation of measures to prevent illegal unregulated and unreported fishing in the wcpfc convention area we hope you find this analysis both informative and useful,WCPFC8,transparency,fleet_transparency,8
text465,WCPFC8-2011-OP04,16,we look forward to working with you and your delegation in guam to progress sustainable fisheries in the pacific through conservation of shark and tuna populations and progress towards elimination of iuu fishing,WCPFC8,transparency,scientific_advice,8
text466,WCPFC8-2011-OP04,19,gerry leape senior officer international policy the pew environment group,WCPFC8,other,scientific_advice,8
text467,WCPFC8-2011-OP04,20,policy statement recommendations to the 8th regular session of the western and central pacific fisheries commission wcpfc30 march 2012 guam measure up for sustainability i 2 policy statement yellowfin tuna c and m fallows policy statement recommendations the pew environment group calls on members cooperating nonmembers and participating territories of the commission ccms collectively of the western and central pacific fisheries commission wcpfc to take the following critical actions at the 8th regular session of the commission,WCPFC8,strategy,session,8
text468,WCPFC8-2011-OP04,21,1 end overfishing and implement the precautionary principle with new conservation measures for tropical tunas 1 adopt a new comprehensive and effective conservation and management measure,WCPFC8,bycatch,fleet_capacity,8
text469,WCPFC8-2011-OP04,22,cmm for tropical tunas 11 extend the fish aggregating device fad closure to end the overfishing of bigeye tuna,WCPFC8,bycatch,fleet_capacity,8
text470,WCPFC8-2011-OP04,23,and put a limit on the number of fad sets during the nonclosure period 12 maintain the management advice from cmm 200801 on longline fisheries and increase,WCPFC8,bycatch,fleet_capacity,8
text471,WCPFC8-2011-OP04,24,observer coverage to 100 percent on largescale freezer longliners and 20 percent on all,WCPFC8,transparency,fleet_transparency,8
text472,WCPFC8-2011-OP04,25,other longline vessels 13 ensure that ccms that benefit the most from bigeye fishing lead bigeye conservation,WCPFC8,bycatch,fleet_capacity,8
text473,WCPFC8-2011-OP04,26,efforts 14 maintain high seas pocket closures 15 take measures to conserve tuna across the entire convention area ensuring compatibility,WCPFC8,bycatch,precautionary_approach,8
text474,WCPFC8-2011-OP04,27,between the high seas and eezs 2 adopt a cmm on fads to manage their use and provide scientists with data 3 establish target and limit reference points for tropical tunas 4 strengthen the compliance regime for cmms 2 adopt conservation measures to protect sharks 1 prohibit the retention of oceanic whitetip sharks and establish concrete precautionary catch,WCPFC8,bycatch,bycatch,8
text475,WCPFC8-2011-OP04,28,limits for north pacific blue sharks 2 mandate gear modifications such as the compulsory use of single monofilament nylon leaders,WCPFC8,bycatch,bycatch,8
text476,WCPFC8-2011-OP04,29,to protect sharks 3 prohibit purse seine vessels from intentionally setting nets around whale sharks 4 prohibit the removal of shark fins at sea to improve enforcement of the shark finning ban 3 strengthen controls against illegal unreported and unregulated iuu fishing 1 improve port state measures to deter iuu fishing activities 2 require unique vessel identifiers uvis for all vessels operating in the wcpfc area i 3 i 4 policy statement introduction the wcpfc aims to ensure the longterm conservation and sustainable use of the fish stocks in the western and central pacific ocean wcpo an area covering 20 percent of the earths surface and containing the worlds largest tuna fishery ccms have committed to valuing the unique social economic and geographic characteristics of the region without placing a disproportionate conservation burden on developing countries1 while there are challenges in balancing the aspirations of developing coastal states with the historical and current fishing by distantwater fishing nations there are still many opportunities to advance sustainable management given wcpfcs more modern and comprehensive mandate ccms have the ability to apply current best practices in fisheries management so that the tunas sharks and other species under its remit do not follow the same path as those managed by tuna rfmos in other regions in this regard the pew environment group encourages the wcpfc to adopt an effective cmm for tropical tunas that ends overfishing of bigeye and prevents overfishing of yellowfin and skipjack adopt conservation measures to protect sharks and strengthen controls against iuu fishing skipjack tuna m ushioda seapics i 5 policy statement end overfishing and implement the precautionary principle with new conservation measures for tropical tunas as cmm 200801 expires wcpfc has an opportunity to evolve its primary tuna management toolan evolution with precaution at its core an example of this is the fad ban which was based on sound scientific advice and implemented in order to reduce juvenile bigeye catch during closures by purse seine vessels according to the secretariat of the pacific community spc while some components of cmm 200801 were successful2 the overall objectives of the measure were not achieved bigeye tuna is still experiencing overfishing and may already be in an overfished state3 with fishing effort primarily managed via fishing days there are still too many vessels fishing too many days4,WCPFC8,bycatch,fleet_transparency,8
text477,WCPFC8-2011-OP04,30,species of concern bigeye the scientific advice has not changed in several years overfishing is occurring and the stock may be in an overfished state5 the new cmm should comply with both the advice from the seventh scientific committee sc7 and article 30 of the convention so that overall fishing mortality is decreased by 39 percent from 2004 levels and a disproportionate burden of conservation action is not placed onto developing states parties and territories and possessions6 yellowfin yellowfin should not experience increases in fishing effort especially in the western equatorial region where the spawning biomass is estimated to have declined to about 31 percent of the unexploited level7 skipjack sc7 noted that future catch rates are likely to decline and catches will decrease as stocks are fished down to msy levels8 it recommended that the commission consider developing limits on skipjack fishing to slow declines in catch rates associated with diminishing biomass9 the primary shortfalls of cmm 200801 were the numerous exemptions the limited area of application and the failure to limit the overall effort on fads when the ban was not in force the next generation cmm must address these shortfalls implement target and limit reference points and provide an enforceable framework for skipjack yellowfin and bigeye tuna conservation into the future i 6 policy statement based on the scientific advice and the requirements spelled out in the convention the pew environment group encourages wcpfc ccms to address the following topics in the next generation cmm for tropical tunas1 adopt a new comprehensive and effective conservation and management measure cmm for tropical tunas11 extend the fad closure to end the overfishing of bigeye and put a limit on the number of fad sets during the nonclosure period previously the primary mechanism to reduce bigeye mortality in the purse seine fishery had been the fad closure however increased fad fishing in the nonclosure period offset the projected conservation gains of the closure10 wcpfc should extend the closure and limit the number of fad sets in the nonclosure period to 2010 levels12 maintain the management advice from cmm 200801 on longline fisheries and increase observer coverage to 100 percent on largescale freezer longline vessels and 20 percent on all other longline vessels a recent analysis of monitoring control and surveillance risks in the western and central pacific notes unlike other parts of the world there is a strong case to be made that the majority of iuu activity in the ffa region pacific islands forum fisheries agency is associated with licensed vessels11 misreporting of target catch and bycatch is one of the most widespread compliance issues in the region and continues to undermine cmms and the integrity of data provided to scientists to fully address these problems 100 percent of the longline fishing activity should be observed pew recognizes that 100 percent observer coverage would be impossible to implement across the entire fleet in the near term however given the high impact that largescale freezer longliners have on target and associated and dependent species wcpfc should mandate 100 percent observer coverage on these vessels pew also recommends that wcpfc increase coverage levels on all other longliners to at least 20 percent in accordance with the best available scientific advice12 wcpfc should also investigate the potential for the use of electronic monitoring ie require cameras and daily catch reporting through a vessel monitoring system or vms until misreporting in the longline fishery is addressed cmms will continue to fall short of their objectives scientists will have incomplete and inaccurate data for stock assessments and future potential benefits from maintaining sustainable stocks in the region will be undermined 13 ensure that ccms that benefit the most from bigeye fishing lead bigeye conservation efforts according to article 30 of the convention wcpfc must implement measures to ensure that a disproportionate burden of conservation action is not placed on developing states parties and territories and possessions in short the wcpfc ccms that benefit the most from bigeye fishing should lead conservation efforts see tables 1 and 2 i 7 policy statement table 1 ccms that benefit the most from bigeye tuna in longline fisheries table 2 the 10 wcpfc ccms with the highest catch of bigeye tuna in the purse seine fishery the number of purse seine vessels average bigeye tuna catch per vessel and whether the ccms have submitted a current fad management plan14 ccm bigeye tuna caught in purse seine fishery mt purse seine vessels avg bigeye tuna catch per vessel mt current fad management plan png yes united states no euspain yes japan no marshall islands no el salvador no korea no chinese taipei yes philippines no china no at the 7th technical and compliance committee tcc7 meeting in november 2011 it was informally proposed that a 250 charge per tonne of bigeye tuna caught by ccm longline fleets be charged as a conservation levy this is one possible solution as is the possibility of pricing vessel days at a higher rate when fishing on fads in recognition of the impact of that effort on juveniles ie one fad fishing day may be charged as two fishing days regardless of the mechanism used the aim must be to minimize juvenile bigeye catch and not to undermanage the bigeye population or treat it as a secondary consideration both of which run counter to implementation of an ecosystembased approach14 maintain and expand high seas pocket closures high seas pocket closures should be maintained at least until measures demonstrated to prevent and deter iuu activity in those areas are in place and effectively implemented for these closures to be effective in reducing the catch of bigeye tuna overall fishing effort must be reduced instead of displaced and the closures should also apply to longline fisheries as they routinely transship at sea ccms economic benefit from longline activities in the wcpfc convention area 200913 republic of korea 145834461 japan 120530742 chinese taipei 109026805 china 95360372 usa 32885110 i 8 policy statement15 take measures to conserve tuna across the entire convention area ensuring compatibility between the high seas and eezs the new cmm should cover the entire wcpfc convention area to avoid the pitfalls of the previous measure furthermore measures between eezs and high seas areas must be consistent to ensure that conservation is not undermined throughout the range of the species the pacific island states that are parties to the nauru agreement pna have shown leadership in adopting strong precautionary measures that are in force in their eezs and the wcpfc should take measures that are equally effective in conserving these critical resources across the entire convention area 2 adopt a cmm on fads to manage their use and provide scientists with data in addition to an extended fad closure ccms fishing with fads should be required to submit fad management plans and fad data so the scientific committee has better information on the extent of their use potential ecosystem impacts associated with the uncontrolled proliferation of fads and marine debris information requirements of fad plans should be clearly stipulated to ensure comprehensive management thus far ccm compliance with fad management requirements has been extremely poor as noted in the pew submission wcpfctcc72011ob01 the uncontrolled proliferation of fads must be addressed as a matter of priority bigeye tuna and fad m ushioda seapics i 9 policy statement3 establish target and limit reference points for tropical tunas article six of the wcpfc convention states in applying the precautionary approach the members of the commission shall a apply the guidelines set out in annex ii of the agreement which shall form an integral part of this convention and determine on the basis of the best scientific information available stockspecific reference points and the action to be taken if they are exceeded15 as a first step in implementing this critical requirement the interim target and limit reference points suggested in working paper wcpfctcc7201101 discussion of a possible way forward in the development of a cmm for bigeye yellowfin and skipjcak tuna in the wcpfc convention area should be adopted at wcpfc 8 for tropical tunas further discussion on target reference points should be undertaken in 2012 and adopted at wcpfc 9 for all species managed by wcpfc table 3 target and limit reference points from working paper wcpfctcc7201101,WCPFC8,bycatch,fleet_capacity,8
