"","document","number","content","meeting","topic"
"text1157","WCPFC12",38,"the commission noted the 2015 annual report of the executive director wcpfc12 2015 06 agenda item 3 statements from members and participating territories","WCPFC12","session"
"text1158","WCPFC12",39,"korea noted the full agenda for wcpfc12 especially for tropical tuna species and hoped commission members can come up with practical and effective solutions and have constructive discussions korea looked forward to participating in these discussions to provide fruitful outcomes","WCPFC12","equity"
"text1159","WCPFC12",40,"on behalf of tuvalu the minister for natural resources hon elisala pita drew the commission s attention for the third year in a row to the critical importance of the decisions made at wcpfc12 to a small fishery dependent state like tuvalu the minister noted that last year in apia it was agreed through cmm 2014 01 to maintain the fourth month of fad closure as a way to conserve bigeye tuvalu with other pna countries rigorously implemented this but other wcpfc coastal states failed to impose the fad closure in their waters dwfn longliners did not deliver the bigeye catch reductions they committed to and bigeye catches in the high seas have continued to increase this year pna is proposing a revision to cmm 2014 01 prohibiting transhipment of frozen bigeye at sea limit purse seining in the high seas and tighten up the fad closures by prohibiting pre dawn sets by purse seiners the minister hoped and expected that members of the commission will accept the refinements but if they do not tuvalu will reconsider its position on the fad closures the minister mentioned tuvalu s struggle to expand its fleet from one to two vessels and noted that tuvalu would not agree to wcpfc12 summary report final rev2 6 july 2016 10 capacity management measures until convinced that they are consistent with sids rights to develop their fisheries for their own benefit the minister wished the commission well in its deliberations","WCPFC12","bycatch"
"text1160","WCPFC12",41,"philippines expressed its deepest appreciation to the government of indonesia for hosting wcpfc12 and the people of bali the philippines noted its committed to ensuring the long term sustainability of straddling and highly migratory fish stocks consistent with its rights and obligations under the 1982 law of the sea convention un fish stocks agreement and the wcpfc convention philippines noted that its commitment is demonstrated in the progressive implementation of the convention and cmms and cooperation with other ccms","WCPFC12","other"
"text1161","WCPFC12",42,"on behalf of new zealand ambassador for pacific economic development shane jones thanked indonesia and the secretariat as hosts and organisers and noted that new zealand attaches a high priority to the development of the region s fisheries and recognises the importance of working together through this commission new zealand strongly supported the strategies in the regional roadmap for sustainable pacific fisheries that leaders agreed to at the pacific island forum as pacific leaders expressed their objective of continuing to improve the sustainable management of fisheries new zealand noted the particular importance of committing to a trp for the management of south pacific albacore to help restore the economic viability of the southern longline fishery new zealand also noted the importance of improving the reporting on and compliance with conservation and management measures established by this commission signs of pressure on some stocks was noted with a need to ensure that harvesting remains sustainable the burden of conservation is fair and that returns are delivered to countries that depend most upon this resource the challenge for wcpfc12 will be to work through hard negotiations and compromise to make progress it was noted that the highly charged tone of the indonesian minister s speech set the scene for what those in a position of stewardship in the pacific want to sustain spread and entrench","WCPFC12","other"
"text1162","WCPFC12",43,"as the host country indonesia welcomed wcpfc12 to bali and noted that it has been 12 years since the commission was established scientific advice now indicates that some species are showing signs of overfishing this means the commission needs to increase its effort to meet the common goals of all parties indonesia noted that developing harvest strategies and harvest control rules in accordance with cmm 2014 06 will increase wcpfc s reputation as an rfmo with effective and efficient conservation and management mechanisms indonesia noted that it is developing a harvest strategy and or harvest control rule for yellowfin and skipjack tunas within indonesia s archipelagic waters indonesia fisheries management areas 713 714 and 715 to ensure that tuna resources in indonesian waters are managed with compatible measures adopted by rfmos indonesia noted that it has received technical support from iotc csiro australia and the wcpfc wpea project as well as from ngos concerned with tuna fisheries management indonesia commented that the commission will find the way to show its commitment to ensuring the sustainable management of tuna resources as required in article 2 of the convention","WCPFC12","other"
"text1163","WCPFC12",44,"the cnmi expressed its gratitude to indonesia for hosting wcpfc12 and advised wcpfc12 of the fishing arrangements that have been established between the u s participating territories including the commonwealth of the northern mariana islands and the hawaii longline vessels which allows hawaiian vessels to fish subject to strict limits set for the us territories these arrangements offer a critical source of funds that the territories otherwise would not have to pursue their fishery development aspirations the cnmi is implementing fisheries infrastructure development including vessel docks and shore side facilities local fish market construction fisher training including pelagic and bottom fishing techniques and seafood handling training as a result of this opportunity the cnmi stated that these arrangements are fully consistent with commission decisions and noted that the cnmi does not have industrial fisheries at present the benefits support cnmi s small fishing communities cnmi will submit a letter for circulation to the commission providing further information on this issue wcpfc12 summary report final rev2 6 july 2016 11","WCPFC12","other"
"text1164","WCPFC12",45,"american samoa thanked the government of indonesia for being a generous and gracious host and noted that american samoa is a us territory and also a developing participating territory with its own fisheries development aspirations and vulnerabilities its isolation and distance add high transport costs and make our products less competitive as an economy that is highly dependent on tuna fisheries american samoa noted the need to keep its tuna fisheries viable and supported the mechanism established under us law that allows the us participating territories to transfer a portion of its annual longline bigeye tuna catch limit to qualifying us vessels process that takes into account commission decisions stock status and us territory fisheries development needs american samoa noted that its tuna fisheries and economy are threatened by labour issues high safety standards market forces and the loss of their historical fishing grounds despite having a safe deep harbor with excellent facilities in the middle of the south pacific ocean effort limits and adverse economic conditions have slowed down the delivery of fish to american samoa s canneries and have affected the economy","WCPFC12","other"
"text1165","WCPFC12",46,"usa recalled the objectives of the convention and the task to support small island states and participating territories to develop and maintain their fisheries in a fair and equitable manner and in a way that supports the primary objective of the convention acting on the best available science based on timely access to high quality relevant data the commission has more work to do in terms of collecting information such as through observers and getting it to the scientific service providers while maintaining the integrity and confidentiality of the information usa advised that it had a number of objectives for the meeting which are broadly described as improving the management of specific stocks within the wcpo and improving the way in which the commission does its business usa noted that its implementation of obligations under the tropical tuna measure combined with actions by coastal states in the region has imposed a high price on at least one us territory this ccm is assessing the impacts of these decisions on communities which are dependent on access to these resources and will be asking for consideration of spatial approaches to longline fishery management and appropriate treatment of the high seas for purse seine fishery management usa called on ccms member to enact laws and regulations rigorously monitor vessels close fisheries when limits are reached and take enforcement action against vessels that violate the rules this ccm also called for a permanent cms","WCPFC12","transparency"
"text1166","WCPFC12",47,"png offered its sincere appreciation to indonesia and welcomed the speech by the indonesian minister png paid tribute to charles karnella for his leadership over the previous 4 years and congratulated the incoming chair and new executive director png has adopted enabling policies to provide a conducive environment for proactive fisheries management the challenge for png is to transform this into practical human development outcomes this ccm noted that the pna longline vessel day scheme should bring in much needed reforms and called on the commission to adopt comparable measures and fully support the pif s fisheries roadmap png noted that the special circumstances and vulnerabilities of sids was a fundamental consideration for this commission as laid out in article 30 png advised that it had signed a joint communique on iuu and transnational crime with indonesia for actions in their respective national jurisdictions","WCPFC12","other"
"text1167","WCPFC12",48,"australia recognised the importance of fisheries to the region as an integral part of the cultural social and economic identity of many members of this commission and noted that fisheries are a critical contributor to pacific island revenues and underpin their capacity to build resilience and address development needs the commission s challenge is to work together proactively to implement effective management arrangements for the key stocks australia has focussed over the last two years on promoting the development of harvest strategies for management of the commission s tuna fisheries and will work with members this year to agree on a workplan for this critical agenda australia supported the development of a new strategic plan for the commission recognising the importance of having a clear vision and plan to achieve it australia noted that wcpfc12 will be asked to consider a number of proposals that will directly contribute towards the development of harvest strategies and hoped to see significant progress on these proposals wcpfc12 summary report final rev2 6 july 2016 12","WCPFC12","other"
"text1168","WCPFC12",49,"guam supported the statements provided by cnmi and american samoa regarding its domestic arrangements with us vessels and noted that this mechanism is important for the development of guam s local domestic fisheries guam advised that the governor of guam is making plans for the development of a locally based longline fleet to supply its domestic market and local tourism based economy guam announced its hosting of the spc festival of the pacific arts in may 2016 involving the participation of 27 pacific island nations with 3 000 delegates along with thousands of visitors to follow festpac s two week olympic of cultures guam wished delegations a productive meeting","WCPFC12","other"
"text1169","WCPFC12",50,"rmi noted that a number of key issues demand action by the commission developing mechanisms to ensure the health well being and safety of fisheries observers as they carry out their duties a push for a more coordinated and practical approach by the commission to transshipment and reconsideration of the application of the impracticability provisions in the measure the improved monitoring of fishing activities in high seas pocket 1 as concerns were raised at tcc about alleged iuu fishing activities inside the pocket implementation of the criteria in cmm 2013 06 to help address the disproportionate burden and the special requirements of sids and the checklist adopted through cmm 2013 07 being incorporated into ccms business practices and a commencement of discussions and the formulation of budgets to support implementation of the cmm","WCPFC12","equity"
"text1170","WCPFC12",51,"chinese taipei noted that wcpfc has had significant achievements in enhancing conservation and management of highly migratory fish stocks in western and central pacific ocean recently some proposals and discussions have focused on economic interests and political consideration rather than constructive discussions on conservation and management measures chinese taipei expressed its desire and willingness to make further efforts to facilitate the functioning of the commission in ensuring long term conservation and sustainable use of highly migratory fish stocks in this area","WCPFC12","other"
"text1171","WCPFC12",52,"fsm noted that its delegation included members of its national legislative body who have taken the time to observe for themselves the work of the commission but also to learn more about what the commission is doing to manage and conserve the fishery resources with the commission convention area as other pacific island countries do fsm attaches great importance to their effective management because tuna offers the greatest opportunity for economic self sufficiency and food security into the future in addition revenue from licensing represents a significant part of our local revenue and with declining revenues from traditional partners and the challenges of being a small economy fisheries support our government s basic services including health education and social development programs fsm seeks to develop them to create jobs and new economic opportunities and noted that it was ready to work with other members of the commission towards that outcome fsm stressed the importance of the commission s work and as the host to the wcpfc secretariat reiterated its commitment to making the secretariat function in an environment that is conducive to its effectiveness and efficiency in service to its members agenda item 4 membership and other applications 4 1 status of the convention","WCPFC12","other"
"text1172","WCPFC12",53,"new zealand as depositary of the wcpf convention advised wcpfc12 that since its last report to the eleventh regular session of the commission in december 2015 in apia samoa new zealand has not received notification of any instruments of ratification or accession to the convention wcpfc12 2015 05","WCPFC12","session"
"text1173","WCPFC12",54,"the commission noted the report on the status of the convention wcpfc12 2015 05 wcpfc12 summary report final rev2 6 july 2016 13 4 2 update on observer status","WCPFC12","session"
"text1174","WCPFC12",55,"the executive director advised the commission of applications for observer status and observers invited out of session to participate at wcpfc12 wcpfc12 2015 07 provided the list of observers to date categorised as either igo or ngo observers there are 57 observers 16 igos and 41 ngos and since wcpfc11 six new observers were admitted as per the rules of procedure","WCPFC12","session"
"text1175","WCPFC12",56,"ffa members noted the number of organisations now official observers to the commission these ccms supported transparency and openness of commission meetings and appreciated the contributions of observers however they were concerned about some sids members being strained from year to year in meeting their annual assessed contributions and the escalating costs of the meetings due to the high numbers of attendees these ccms proposed that the commission undertake some analysis and review of the current list of observers considering the following elements a the number of observers that had attended meetings b whether it was appropriate to limit numbers on observers delegations c whether it was appropriate for observers to pay an annual contribution towards the meeting costs and d how to accommodate treating separately observers which support the sids effective participation in the commission the spc the ffa secretariat and the pna office as these bodies are also separately recognised under the cms measure","WCPFC12","equity"
"text1176","WCPFC12",57,"executive director noted that the matter of a fee was raised during fac discussions early in the meeting the fac agreed to task the secretariat to look into the issue of charging a fee for observers and report back to fac next year it was noted that if a further broader review was requested the secretariat could accommodate that review","WCPFC12","session"
"text1177","WCPFC12",58,"the eu considered that a review could be a way forward noting the number of observers participating however the analysis by the secretariat should not be limited to a contribution to the cost of meetings by observers but should also look at other issues and the way observers contribute to the work of the commission including issues relating to transparency and access to documents this ccm was reluctant to see a cap placed on the number of observers and suggested the issues could be discussed together at tcc in advance of wcpfc13 not just fac","WCPFC12","equity"
"text1178","WCPFC12",59,"the american fishermen s research foundation suggested that when thinking about setting a fee for observers the size of the organisation the number of delegates that attend meetings and which observers are true stakeholders such as harvest groups should be considered this observer organisation noted that it funds itself to go to the three wcpfc related meetings each year","WCPFC12","other"
"text1179","WCPFC12",60,"the chair noted the commission s general agreement to undertake a review of observer participation at the commission covering the elements which had been raised by ffa eu and the observer group","WCPFC12","session"
"text1180","WCPFC12",61,"the commission noted the updated list of observers provided in wcpfc12 2015 07 and tasked the secretariat to undertake a review of observer participation at the commission covering the following possible elements the number of observers which have attended meetings whether it is appropriate to limit numbers on observers delegations whether it is appropriate for observers to pay an annual contribution towards the meeting costs how to accommodate treating separately observers which support the sids effective participation in the commission specifically spc ffa pnao whether and or how to accommodate treating separately observers that are direct stakeholders such as harvest groups transparency wcpfc12 summary report final rev2 6 july 2016 14 access to documents and to report back to wcpfc13 4 3 applications for cooperating non member status","WCPFC12","transparency"
"text1181","WCPFC12",62,"the tcc vice chair j anderson new zealand presented the tcc11 recommendations tcc11 summary report para 117 in respect of the seven applicants ecuador el salvador liberia mexico panama thailand and vietnam for wcpfc12 consideration wcpfc12 2015 08 in accordance with cmm 2009 11 on cnms the commission considered the seven applications which had been submitted for cnm status for 2016","WCPFC12","transparency"
"text1182","WCPFC12",63,"the chair asked for general comments advising that the commission would then take each applicant in turn to consider their cnm status","WCPFC12","transparency"
"text1183","WCPFC12",64,"ffa members maintained that cnms are to pay a contribution to the commission as required under the measure and agreed at wcpfc11 50 of the amount that would be payable if the cnm was a member agreed at wcpfc7 premised on the principle that all participants must share the costs of conservation and management of these stocks ffa members thank those cnms that have paid their contributions and noted that mexico s contribution remained outstanding ffa members recalled that this was a subject of extensive discussion at the last commission meeting and in granting cnm status to mexico the commission was assured that they would investigate the possibility of a voluntary payment these ccms called on mexico to update the commission on these discussions and reiterated that ffa members do not agree to cnm status for any applicant with an outstanding financial contribution or who is unable to commit to making the contribution for next year","WCPFC12","transparency"
"text1184","WCPFC12",65,"japan noted that overcapacity in the purse seine sector is a major problem of the commission and requested that the cnms work together to solve this problem japan requested an update from vietnam on the construction of vessels which could participate in fishing in the wcpfc area and also requested vietnam continue to provide such information to prevent further expansion of the purse seine fleet in the wcpo","WCPFC12","transparency"
"text1185","WCPFC12",66,"vietnam stated that in 2015 one large scale tuna fishing vessel was built in vietnam it was 100 owned by a french company it was delivered in june 2015 and flagged to the seychelles and operates in the indian ocean at present no construction of large scale tuna fishing vessels is taking place in vietnam and there are also no contracts for future construction of such vessels there is no further construction in vietnam taking place and no contracts for future construction vietnam emphasised that it wanted to fully cooperate with the commission however it noted that this discussion should not be part of the procedure of granting cnm status","WCPFC12","transparency"
"text1186","WCPFC12",67,"the chair asked if there was any objection to accepting ecuador as a member for 2016","WCPFC12","transparency"
"text1187","WCPFC12",68,"wcpfc12 agreed to approve the application for cnm status in 2016 for ecuador","WCPFC12","transparency"
"text1188","WCPFC12",69,"the chair asked if there was any objection to accepting el salvador as a member for 2016","WCPFC12","transparency"
"text1189","WCPFC12",70,"wcpfc12 agreed to approve the application for cnm status in 2016 for el salvador","WCPFC12","transparency"
"text1190","WCPFC12",71,"the chair asked if there was any objection to accepting mexico as a member for 2016 wcpfc12 summary report final rev2 6 july 2016 15","WCPFC12","session"
"text1191","WCPFC12",72,"the secretariat was asked for an update on the status of mexico s contribution it was confirmed that as of 13 november mexico had not provided a financial contribution wcpfc12 2015 08","WCPFC12","transparency"
"text1192","WCPFC12",73,"palau noted that as a sids it has problems making its contribution but has managed to do so this ccm objected to mexico s application","WCPFC12","transparency"
"text1193","WCPFC12",74,"the usa expressed sympathy for palau s argument but noted that it did not interpret the cmm in the same way and in usa s view the lack of a contribution did not provide a bar to participation rather it was in the interest of the commission to have mexico participate especially in nc on pacific bluefin tuna which was a stock in serious trouble and required work among all the countries involved whether on the eastern or western side of the pacific usa noted that mexico had expressed a willingness to engage in the commission and is essential to our solving the bluefin issue and it would be a mistake to preclude them usa further noted that in the past mexico has explained the legal prohibitions it has and that those prohibitions resolve if it could become a member of the commission this ccm suggested that a better course of action would be to agree to invite mexico to become a member","WCPFC12","equity"
"text1194","WCPFC12",75,"canada china eu japan korea and chinese taipei supported usa s views while expressing sympathy with the sids position china suggested a voluntary contribution could be made through industry or an association japan noted that mexico is the second largest pacific bluefin tuna harvester and cooperation with mexico is essential for management of this stock","WCPFC12","other"
"text1195","WCPFC12",76,"nauru supported palau s intervention noting that mexico was not even in attendance","WCPFC12","equity"
"text1196","WCPFC12",77,"tokelau reiterated the ffa position from last year s commission meeting whereby they would not agree to cnm status for any member that has an outstanding financial position and suggested that mexico works on its legal constraints and applies for cnm status once that is addressed","WCPFC12","transparency"
"text1197","WCPFC12",78,"the chair noted that there is not a commission decision to accept mexico as a cnm as the application has not been accepted by consensus and this would be reflected in the report","WCPFC12","transparency"
"text1198","WCPFC12",79,"the chair asked if there was any objection to accepting panama as a member for 2016","WCPFC12","transparency"
"text1199","WCPFC12",80,"wcpfc12 agreed to approve the application for cnm status in 2016 for panama","WCPFC12","transparency"
"text1200","WCPFC12",81,"the chair asked if there was any objection to accepting thailand as a member for 2016","WCPFC12","transparency"
"text1201","WCPFC12",82,"japan commented that thailand was accepted into the commission because of its unique situation having large amounts of cannery data as most of thailand s catch for canning comes from the wcpfc region and requested thailand to confirm whether information on its cannery data were provided to the wcpfc or not","WCPFC12","transparency"
"text1202","WCPFC12",83,"thailand noted that it requests data from the canning companies and submits it to the wcpfc each year","WCPFC12","transparency"
"text1203","WCPFC12",84,"wcpfc12 agreed to approve the application for cnm status in 2016 for thailand","WCPFC12","transparency"
"text1204","WCPFC12",85,"the chair asked if there was any objection to accepting vietnam as a member for 2016","WCPFC12","transparency"
"text1205","WCPFC12",86,"wcpfc12 agreed to approve the application for cnm status in 2016 for vietnam wcpfc12 summary report final rev2 6 july 2016 16","WCPFC12","session"
"text1206","WCPFC12",87,"the chair asked if there was any objection to accepting liberia as a member for 2016","WCPFC12","transparency"
"text1207","WCPFC12",88,"wcpfc12 agreed to approve the application for cnm status in 2016 for liberia","WCPFC12","transparency"
"text1208","WCPFC12",89,"on 5 december korea reported that the cnm swg had met with substantial discussion taking place on the six applications which had been accepted as cnms for 2016 there were issues remaining and the group was waiting to hear from mexico panama had made a request to include the term supporting vessel and the swg was exploring the implications of including that term this swg required another meeting to continue these discussions the executive director noted that the secretariat had a short time ago received a letter from mexico with a commitment to pay the cnm membership fee this letter was posted for all ccms to read wcpfc12 2015 op19","WCPFC12","transparency"
"text1209","WCPFC12",90,"png sought clarification about whether the commitment is to provide the financial contribution which had been due this year or if it was for next year this ccm noted that the commission had already decided that mexico s application would not be accepted for 2016 png asked the secretariat to seek clarification which payments were being committed to","WCPFC12","transparency"
"text1210","WCPFC12",91,"on 7 december the chair reminded ccms that there had been questions about mexico s financial commitment for 2015 it was noted that a delegate from mexico had now arrived at the meeting and he could address the application and the question of financial commitment","WCPFC12","transparency"
"text1211","WCPFC12",92,"mexico noted that delegations will have seen the letter from the mexico government wcpfc12 2015 op19 demonstrating mexico s interest to continue participating in wcpfc as a cnm mexico noted that it had participated in several meetings and fully cooperated with the nc and isc it provided information punctually and the information it provides is used by the commission to make management decisions mexico noted that the main reason for mexico s participation was not a need to fish in wcpfc waters as mexico had abundant yellowfin in its own eez rather mexico shared in the responsibility of managing the marine resources of the pacific and to participate in the technical and scientific committees of the two organisations mexico further noted that it only catches fish in the area shared with iattc mexico stated that it would like to participate as a full member in the future mexico asked for advice from the secretariat about the amount of contribution it was required to pay whether it was voluntary and how it was calculated and commented that it had not received information from the commission in this regard mexico noted its understanding that some delegations had supported mexico s position during initial discussions early in the meeting and hoped to work through the next steps to continue its cnm status","WCPFC12","transparency"
"text1212","WCPFC12",93,"the secretariat advised that at the end of each annual meeting the executive director sends a letter to each of cnm applicant advising of the outcome that letter includes the expected financial contribution based on the approved budget this was stated in the letter to mexico and other cnms applicants on 19 february 2015 in addition follow up letters were sent following tcc11 which drew the attention of cnm applicants to any gaps in financial contributions it was noted that these communications which confirmed the contribution amount were as per the decision made at wcpfc11 to do so the commission assesses the financial commitment of cnms to be 50 of what that member would have paid if it had been a full member mexico s contribution for 2015 was assessed at $27 070 half of the $54 140 the contribution would have been if mexico had been full member","WCPFC12","transparency"
"text1213","WCPFC12",94,"the representative from mexico noted that with a figure in hand he will report to capital mexico stated that the commitment to pay the due is in the form of a promise from the mexico government to cover the dues as soon as possible wcpfc12 summary report final rev2 6 july 2016 17","WCPFC12","session"
"text1214","WCPFC12",95,"in light of the new information from mexico a lengthy discussion took place about whether the commission was prepared to accept mexico s cnm request for 2016","WCPFC12","transparency"
"text1215","WCPFC12",96,"several ccms spoke in favour of mexico being accepted as a cnm with japan outlining its support was based on mexico being an important participant in the nc regarding pacific bluefin tuna a species which migrates to the epo and being the second largest harvester of the species usa and china strongly supported the application as did france on behalf of the french territories in the pacific due to the shared management of stocks and the cooperation between iattc and wcpfc eu considered the presence of mexico and its participation in the nc work to be essential and hoped mexico would become a full member in the future","WCPFC12","strategy"
"text1216","WCPFC12",97,"nauru asked for clarification around whether if the commission accepts the application mexico has 90 days to pay and whether if that payment is not forthcoming the application is rejected","WCPFC12","transparency"
"text1217","WCPFC12",98,"the chair noted the case of senegal at wcpfc11 where a conditional acceptance was given provided the payment was made by a certain date","WCPFC12","transparency"
"text1218","WCPFC12",99,"chinese taipei noted that it could go along with others on imposing a condition and appreciated the commitment from mexico of this payment this ccm hoped the payment would be made by january or february","WCPFC12","equity"
"text1219","WCPFC12",100,"canada supported the inclusion of mexico as a cnm but expressed doubts about the conditional aspect noting that mexico s internal system for making the payment may need more time and that the wcpfc should go by the commitment when deciding on mexico s cnm status","WCPFC12","transparency"
"text1220","WCPFC12",101,"philippines noted that it was satisfied with the commitment noting that it was made by a representative of the government","WCPFC12","other"
"text1221","WCPFC12",102,"the chair noted that there was support for the application but that the issue of payment not having been made was outstanding the chair noted the precedent which had been set at wcpfc11 to apply a condition to senegal and suggested that members accept this as a way of proceeding and that payment would be due 90 days after 15 january 2016 which is the date members are notified to pay their financial contributions","WCPFC12","transparency"
"text1222","WCPFC12",104,"mexico queried the decision to make the application conditional","WCPFC12","transparency"
"text1223","WCPFC12",105,"fsm supported nauru s comment on conditionality commenting that last year the commission had heard the same commitment the condition would hold mexico to making the payment within 90 days or it would lose its cnm status","WCPFC12","transparency"
"text1224","WCPFC12",106,"japan noted that if the decision to make the acceptance conditional was based on practice not the measure relating to cnms the commission could consider changing the current practice to be more flexible in order to accommodate mexico this ccm commented that wcpfc is the only tuna rfmo which obliges a budgetary contribution from cnms and noted that for cnm countries this is a budget issue with not only the fisheries ministries involved but also the finance ministries","WCPFC12","transparency"
"text1225","WCPFC12",107,"rmi noted that there were reservations to the application and the established rule in wcpfc is that decisions are taken by consensus kiribati supported rmi s comments wcpfc12 summary report final rev2 6 july 2016 18","WCPFC12","session"
"text1226","WCPFC12",108,"png asked mexico to clarify whether it would allow hsbi by wcpfc authorised inspection vessels","WCPFC12","transparency"
"text1227","WCPFC12",109,"fsm noted the lengthy discussion both earlier in the meeting and during these current discussions and expressed concern that the commission would be opening the door for others to take the same approach this ccm encouraged mexico to make the payment fsm noted png s question about hsbi and commented that this issue was raised as it was about mexico agreeing to apply rules that are applied by other participants this ccm noted that if mexico is not accepted as a cnm it can still cooperate with the nc as an observer","WCPFC12","equity"
"text1228","WCPFC12",110,"the chair noted the lack of consensus on accepting mexico s application whether conditional or not and discussions on the matter ceased","WCPFC12","equity"
"text1229","WCPFC12",111,"korea asked that the wcpfc legal advisor attend the 7 december cnm swg meeting and on 8 december korea noted that a second draft had been developed and would be posted shortly","WCPFC12","session"
"text1230","WCPFC12",112,"on 8 december korea reported that it had taken on board all comments so far and would meet again during the lunch break it was noted that the swg had received confirmation that mexico had paid its dues on 7 december and the wcpfc finance and administration manager had confirmed the transaction","WCPFC12","session"
"text1231","WCPFC12",113,"the chair noted that the issue which was outstanding for mexico was its payment so there were no outstanding matters to address the chair suggested that the commission now accepted the cnm application and the cnm swg could now consider mexico s participatory rights","WCPFC12","transparency"
"text1232","WCPFC12",115,"the commission agreed to approve the application for cnm status in 2016 for mexico 4 3 1 participatory rights of cnms","WCPFC12","transparency"
"text1233","WCPFC12",116,"in accordance with paras 12 and 13 of cmm 2009 11 the cnm swg reviewed the participatory rights of cnms for the commission s adoption on 8 december 2015 korea presented the final report of the cnm swg wcpfc12 2015 31 outlining the participatory rights for the seven cnm applicants","WCPFC12","transparency"
"text1234","WCPFC12",117,"the commission noted with appreciation the attendance and participation of ecuador el salvador liberia mexico panama thailand and vietnam in the cnm swg discussions","WCPFC12","transparency"
"text1235","WCPFC12",118,"the swg agreed to recommend that the cnms accepted by the wcpfc plenary ecuador el salvador liberia mexico panama thailand and vietnam have the same participatory rights in 2016 as they had in 2015","WCPFC12","transparency"
"text1236","WCPFC12",119,"the swg noted the recommendation from tcc11 that wcpfc12 take into consideration the compliance status of all cnm applicants in making its decision on the cnm applications and participatory rights including encouraging them to rectify any gaps or issues in their applications prior to wcpfc12","WCPFC12","transparency"
"text1237","WCPFC12",120,"the commission agreed that a in accordance with the wcpf convention and its conservation and management measures and resolutions the following participatory rights apply to cooperating non members cnms for wcpfc12 summary report final rev2 6 july 2016 19 fisheries in the high seas within the wcpfc convention area b in addition unless otherwise specified below cnms may fish in waters under their national jurisdiction or other ccms national jurisdiction in accordance with appropriate bilateral arrangements c cnms shall ensure vessels flying their flags comply with all provisions of the wcpf convention and the wcpfc conservation and management measures in addition cnm vessels will be placed on the wcpfc record of fishing vessels wcpfc rfv d ccms shall ensure that cnm fishing activities that are conducted in waters under their national jurisdiction in accordance with bilateral arrangements are consistent with all relevant conservation and management measures and provisions of the wcpf convention e renewal of cnm status by the commission will take into account compliance with the national laws and regulations of any licensing ccm and all conservation and management measures and provisions of the wcpf convention ccms shall identify any violations by vessels flagged to a cnm and report on any investigations of such violations to the tcc participatory rights of each cnm in 2016 ecuador","WCPFC12","transparency"
"text1238","WCPFC12",121,"the commission noted ecuador s non compliant status in cmr covering 2014 activities and encouraged ecuador to aim for full compliance in 2016","WCPFC12","transparency"
"text1239","WCPFC12",122,"the commission agreed that ecuador s participatory rights for fishing in the wcpo are limited to purse seine fishing with no participatory rights for fishing on the high seas for highly migratory fish stocks in the convention area any introduction of purse seine fishing capacity is to be in accordance with paragraph 12 of cmm 2009 11 and cmm 2014 01 or its replacement measure el salvador","WCPFC12","transparency"
"text1240","WCPFC12",123,"the commission noted el salvador s non compliant status in cmr covering 2014 activities and encouraged el salvador to aim for full compliance in 2016","WCPFC12","transparency"
"text1241","WCPFC12",124,"the commission agreed that the participatory rights of el salvador for fishing in the wcpo are limited to purse seine fishing only the total level of effort by purse seine vessels of el salvador on the high seas shall not exceed 29 days in the convention area any introduction of purse seine fishing capacity is to be in accordance with paragraph 12 of cmm 2009 11 and cmm 2014 01 or its replacement measure liberia","WCPFC12","bycatch"
"text1242","WCPFC12",125,"the commission noted that liberia was not subject to compliance evaluation in cmr covering 2014 activities","WCPFC12","session"
"text1243","WCPFC12",126,"the commission agreed that the participatory rights of liberia are limited to reefer vessels to engage in transshipment activities and bunker and supply vessels to support fishing vessels in the convention area wcpfc12 summary report final rev2 6 july 2016 20 mexico","WCPFC12","transparency"
"text1244","WCPFC12",127,"the commission noted that cmr covering 2014 activities assessed mexico to be in full compliance with all applicable cmms","WCPFC12","session"
"text1245","WCPFC12",128,"the commission noted that mexico had participated in the work of the northern committee nc at nc 8 9 10 and 11 and noting the need for cooperation with the work of the nc particularly in regard to pacific bluefin tuna encouraged mexico to continue to participate in the nc mexico does not intend to have a vessel presence in 2016 the commission agreed that any future introduction of purse seine fishing capacity is to be in accordance with paragraph 12 of cmm 2009 11 and cmm 2014 01 or its replacement measure panama","WCPFC12","transparency"
"text1246","WCPFC12",129,"the commission noted panama s non compliant status in cmr covering 2014 activities and encouraged panama to aim for full compliance in 2016","WCPFC12","transparency"
"text1247","WCPFC12",130,"the commission agreed that the participatory rights of panama in the wcpo are limited to the provision of carrier and bunker vessels at the request of panama and after consulting the legal advisor the swg noted that panama s participatory rights also apply to vessels that supply food water and spare parts to carrier vessels that engage in transshipment activities provided that these vessels do not engage in activities supporting fishing vessels including providing and or servicing fads the commission noted that this does not result in any additional participatory rights in 2016 to the participatory rights granted to panama in 2015 thailand","WCPFC12","transparency"
"text1248","WCPFC12",131,"the commission noted thailand s non compliant status in cmr covering 2014 activities and encouraged thailand to aim for full compliance in 2016","WCPFC12","transparency"
"text1249","WCPFC12",132,"the commission noted the need for cooperation between thailand and the commission and the commitment from thailand to provide data from canneries located in thailand to assist in the work of the commission considering that the cnm status was granted to thailand for 2016 on the understanding that thailand will cooperate fully with the commission in the acquisition and exchange of fishery information and data the commission noted the provision of data from thai canneries and encourages thailand to continue to cooperate with the commission to improve the acquisition and exchange of fishery information and data the commission agreed that the participatory rights of thailand in the wcpo are limited to the provision of carrier and bunker vessels only vietnam","WCPFC12","transparency"
