document,number,content
WCPFC8-2011-OP11,15,Our organizations along with most other conservationists and scientists worldwide strongly support the fins naturally attached method as the most reliable means for enforcing finning bans Under such a policy through which atsea fin removal is prohibited
WCPFC8-2011-OP11,16,Enforcement burden is greatly reduced Information on species and quantities of sharks landed is vastly improved Highgrading mixing bodies and fins from different animals is impossible Value of the finished product can be increased
WCPFC8-2011-OP11,17,The technique of making a partial cut allowing fins to be folded against the body can address industry concerns about safety and efficient storage Because of the numerous practical advantages associated with the fins naturally attached method the policy has been mandated for most Central American and US fisheries and is gaining acceptance in international arenas as reflected in
WCPFC8-2011-OP11,18,The 2007 United Nations General Assembly Sustainable Fisheries Resolution The 2008 IUCN Global Policy against Shark Finning The 2010 Fish Stocks Agreement Review Conference on the Law of the Sea
WCPFC8-2011-OP11,19,In order to increase the effectiveness of the regional shark finning ban and to facilitate the collection of speciesspecific shark catch data we urge the WCPFC to adopt a requirement that sharks be landed with their fins still naturally attached
WCPFC8-2011-OP11,20,Other Shark Species and Mitigation Measures We note that improvements in finning controls and simple catch limits have also been suggested in SPCOFP analyses for silky sharks Carcharhinus falciformis as a first step toward reducing mortality Although the species status has been described as ambiguous silky sharks are dominant in the shark catch of both longline and purse seine fisheries in the region and scientists suggest the number of removals may be on the rise We also support the SC plan to conduct a stock assessment on silky sharks for SC8
WCPFC8-2011-OP11,21,Two mako species Isurus spp and three species of threshers Alopias spp are considered key shark species by the WCPFC and are among the least productive of all pelagic sharks WCPFC scientists have suggested further research andor data improvement to identify and clarify population status trends for these species We support this recommendation as well as precautionary limits on take We also support the SC7 recommendation for further investigations into the effectiveness of shark catch mitigation measures such as circle hook use promotion of live release deeper hook deployment and prohibitions on targeting retention wire leaders and finning
WCPFC8-2011-OP11,22,We join the SC encouraging adoption of the process for designating WCPFC key shark species for data provision and assessment as proposed in document WCPFC8 2011IP05 as well as general improvements in the collection of shark related data
WCPFC8-2011-OP11,23,References Clarke S 2011 A Status Snapshot of Key Shark Species in the Western and Central Pacific and Potential Management Options WCPFCSC72011EBWP04 Oceanic Fisheries Programme Secretariat of the Pacific Community Fowler S and Sret B 2010 Shark fins in Europe Implications for reforming the EU finning ban European Elasmobranch Association and IUCN Shark Specialist Group Graham R 2004 Global whale shark tourism a golden goose of sustainable and lucrative income Shark News 16 89 SPCOFP 2012 Summary Information on Whale Shark and Cetacean Interactions in the Tropical WCPFC Purse Seine Fishery Rev 1 WCPFC8 2011IP01 rev 1
WCPFC8-2011-OP11,24,WCPFC 2011 Summary Report of the Seventh Regular Session of the Scientific Committee WCPFC8 14
WCPFC8-2011-OP19,1,COMMISSION EIGHTH REGULAR SESSION Tumon Guam USA 30 March 2012 CLOSING STATEMENT OF THE AMERICAN FISHERMENS RESEARCH FOUNDATION WCPFC8 2011OP19 March 2012
WCPFC8-2011-OP19,2,CLOSING STATEMENT OF THE AMERICAN FISHERMENS RESEARCH FOUNDATION ON MARCH 30 2012 AT THE 8TH ANNUAL MEETING OF THE WESTERN AND CENTRAL PACIFIC FISHERIES COMMISSION IN GUAM
WCPFC8-2011-OP19,3,First the American Fishermens Research Foundation AFRF and its supporting organization of albacore troll fishermen and their marine suppliers the Western Fishboat Owners Association WFOA would like to thank the Secretariat of the WCPFC and the members of the WCPFC for permitting AFRF to participate in this meeting as an Observer Secondly AFRF would like to thank all of Guam but in particular the Guam Fishermens Association for their hospitality and assistance The primary area of concern for AFRF and WFOA at this meeting was a proposed amendment to the CMM 201005 submitted by the Forum Fisheries Agency Unfortunately the press of other business did not enable the Commission to discuss this request until the afternoon of the last day of the annual meeting This prevented the Commission members from having a full discussion of this item which AFRF would have welcomed There was no consensus reached on the FFA proposal Since the FFA declared that it would be bringing to the 9th Annual meeting of the Commission and one assumes the TCC8 and the SC8 a CMM which would seek to limit effort and catch on South Pacific albacore across all gear types AFRF looks forward to working with members of the WCPFC and participating Observers to reach an reasonable conclusion Unlike this meeting AFRF hopes to be consulted early in the process of crafting a new CMM by the interested members of the WCPFC As many of you know AFRF is a nonprofit foundation which is devoted to scientific research and public education for North and South Pacific albacore troll and pole and line fisheries It is also an advocate for the sustainable use of this resource and its conservation and management based on the best available science AFRF is a qualified Observer to both the WCPFC and the InterAmerican Tropical Tuna Commission and attends all their meetings as well as meetings of the Northern Committee of
WCPFC8-2011-OP19,4,the WCPFC In addition AFRF and WFOA have been deeply involved with the WCPFC since the early days of the MHLC process in the 1990s through the meetings of the Preparatory Commission until the present day of the MHLC This has been a costly and resource consuming effort over the years Generally AFRF and WFOA have been unable to also attend meetings of the TCC and the SC For this reason AFRF and WFOA hope that they may be electronically connected with any meetings of the members and observers who work on the pending CMM whether at the TCC SC or in the interim On the off hand chance that such participation is denied AFRF would like to state a few principles for the record First AFRF believes CMMS should only be based on the best scientific information available At this time that information indicates South Pacific albacore is not overfished nor is overfishing occurring The stocks of South Pacific albacore are above MSY The troll and pole and line fishery for South Pacific albacore is having no discernible effect on the stocks The troll and pole and line fishery has shown no appreciable expansion since 2005 When 200503 was accepted by the Commission there was no scientific basis to limit the troll and pole and line South Pacific albacore fishery Secondly AFRF and WFOA both believe it is important for the SPC to at least perform triannual assessments on the stock if not more frequently Thirdly these organizations believe the establishment of target and limit reference points is an extremely important goal Finally both organizations believe additional life history and other research should be done on an urgent basis
WCPFC9-2012-OP01,1,COMMISSION NINTH REGULAR SESSION Manila Philippines 6 December 2012 WWF Position paper to WCPFC9 WCPFC92012OP01 15 November 2012 WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 i WWF POSITION WWF POSITIONth Regular Session of the Western Central Pacific Fisheries Commission WCPFC Manila Philippines 26 December 2012 Introduction and Summary The World Wide Fund for Nature WWF would like to thank the Western and Central Pacific Fisheries Commission WCPFC 1 for the opportunity to address the 9th Regular Session of the WCPFC on its critically important role in the adequate management of the Western Central Pacific Ocean WCPO fisheries Conservation of these ecologically and economically important fishery resources depends heavily on the ability of the members of the WCPFC to collaboratively work together to develop and implement successful conservation and management measures The regulatory measures proposed and implemented by the WCPFC represent one of the legs of the threelegged stool of successful sustainable and responsible fisheries management the other legs consisting of the science provided by the Scientific Committee SC and the compliance measures provided by the Technical and Compliance Committee TCC Without firm support on each one of those three components the stool falls over and fisheries management fails WWF once again calls on members of the WCPFC to address the issues and recommendations raised at SC8 TCC8 and WCPFC8 as well as observe the experience of other RFMOs in their own efforts to achieve and maintain improved measures for monitoring and surveillance WWF wishes to reiterate its position offered in Guam in March WCPFC8 and taking into account the WCPFCrelated meetings held since the recommendations listed in bullets below For more detail and background on each position please reference the associated Appendix for this document Conservation and Management Measures Reference Points WWF recommends that the WCPFC must Adopt precautionary Bbased Limit Reference Points preferably based on Spawning Biomass for all WCPO fishery stocks under its authority Adopt precautionary Fbased Limit Reference Points as an interim measure to attempt to control the exploitation rate Direct the SC to develop a range of alternatives for precautionary Target Reference Points for consideration in 2014 and Consider risk probability levels of breaching the Limit Reference Points of 10 or less as a precautionary measure Smart Fishing Initiative POSITION DECEMBER Gregg Yan WWF WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 ii WWF POSITION Harvest Control Rules WWF recommends that the WCPFC must Thoroughly review the SC8 recommendations for HCRs and the outcomes of the Management Objectives Workshop and Urgently pursue development and implementation of Harvest Control Rules for all stocks under its authority to be achieved by 2015 Harvest Strategies WWF recommends that the WCPFC must Develop strong sciencebased Harvest Strategies to be implemented simultaneously with the development of precautionary Reference Points and Harvest Control Rules High Seas Closures WWF recommends that the WCPFC should Develop a program to treat the HSPs as Special Management Zones SMZ subject to mutually agreed rules and measures contingent upon strict reporting and observation requirements by the WCPFC Consider a Vessel Days at Sea VDStype scheme specific to HSPs which would count against the overall effort of the CCM Rescind the waiver of the FAD closure on the domestic purse seine fisheries offered to CCMs displaced from the HSP closure areas upon transition of those areas to SMZs and Require all CCMs allowed to reenter the HSPs to implement complementary measures to the revised CMM 200801 enacted at WCPFC9 in addition to an equivalent compliance and monitoring scheme applicable to the domestic purse seine fisheries Tuna Species Bigeye Tuna WWF supports the SC8 recommendation for development of a revised CMM for BET YFT and SKJ tuna stocks Consistent with this recommendation the WCPFC must Adapt and adopt management measures that apply to all sectors of the fishery Further strengthen the control of FAD activities Build on the apparent success of some fleets in reducing their dependence on FADs to achieve greater control of FAD activity outside the closures including control of the number of FADs set throughout a year instead of FAD time closures Implement an absolute reduction of the total number of FAD sets to the levels no greater than those in the fishery in 2010 Clearly define limits on purse seine effort that are applicable in different areas Implement measures which reduce fishing mortality on BET from the longline fishery and Consider a complete closure of the purse seine fishery for a defined period of time during the highest catch or catch rates of juvenile BET including any mitigation measures necessary to address adverse socioeconomic impacts Yellowfin Tuna WWF recommends that the WCPFC take proactive and precautionary measures to prevent any further decline of the YFT stock and that WCPFC must Implement the SC7 recommendation to the WCPFC to limit YFT fishing mortality to its 20012004 level in the western equatorial region Pacific Bluefin Tuna WWF recommends that the WCPFC must Revise CMM201004 and remove all current exemptions from CMM201004 and Encourage all member states to implement the substantial management measures for juvenile age 03 PBT to keep fishing mortality less than its 20022004 level WWFPANDAORGSMARTFISHING Sample Paper Sample Paper Sample Paper WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 iii WWF POSITION South Pacific Albacore Tuna WWF recommends that the WCPFC must Introduce effective capacity and effort controls for management of the South Pacific ALB stock and Encourage domestic fisheries managers to implement Tuna Management Plans that freeze licenses for ALB at current levels and seek to reduce that number to a level that achieves Maximum Economic Yield Bycatch Whale Sharks WWF recommends that the WCPFC should Acknowledge the SC8 conclusion that whale sharks meet the criteria for consideration as a key shark species and define whale sharks as a key shark species Adopt Australias Proposal to Address the Impact of Purse Seine Fishing Activity on Whale Sharks which includes a specific prohibition for setting purse seines on whale sharks Support procedures for the careful and safe release of whale sharks inadvertently captured in purse seines Recommend requirements for logbook and observer reporting of all interactions with whale sharks for submission to the flag State and to the WCPFC Encourage the development of reference points for nontarget species including whale sharks as envisaged under Articles 5 and 10 of the WCPF Convention Oceanic Whitetip and Silky Sharks Based on the recommendations of the SC8 regarding oceanic whitetip and silky sharks the WCPFC must Endorse additional mitigation measures and maintain existing measures in an effort to improve the status of the WCPO oceanic whitetip and silky shark stocks including o prohibit the retention transhipment storage onboard sale and landing of oceanic whitetip and silky sharks in all fisheries managed by the WCPFC o mandate the prompt and careful release of any captured oceanic whitetip and silky sharks and o ensure that all interactions with oceanic whitetip and silky sharks are reported in terms of number and status of animals through logbooks and observer records Develop and implement reference points for nontarget species including oceanic whitetip sharks and silky sharks as envisaged under Articles 5 and 10 of the WCPFC Convention Shark Finning WWF recommends that the WCPFC must Focus more discretely on the overall management of shark harvests including the development and implementation of reference points for nontarget species as envisaged under Articles 5 and 10 of the WCPFC Convention Support and promote the collection of speciesspecific shark catch data in the WCPO through observer records and logbooks Implement a requirement for all sharks be landed whole with their fins naturally attached allowing for a partial cut method to facilitate safety and storage and Until such time a fins attached policy is enacted implement a prohibition on the transfer of any unattached shark fins at sea Turtles WWF recommends that the WCPFC must Formally acknowledge the deficiencies of CMM 200803 Adopt the sea turtle conservation and management measures proposed by WWF in the Compendium of Best Practice of Conservation and Management Measures CMMs Develop and implement CMM revisions aimed at o Strengthening key language and reducing the ambiguity in desired outcomes of the CMM thereby enabling not only stronger conservation measures but also better monitoring of CMM effectiveness WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 iv WWF POSITION o Committing explicitly to a goal of zero mortality of sea turtles and catch rates as close to zero as possible o Introducing new interim binding measures including mandatory adoption of bycatch reduction gear eg circle hooks and other mitigation techniques conducting research on mitigation techniques and reporting on sea turtle impacts with a goal of later implementing a consolidated optimal bycatch mitigation package o Setting an appropriate interim catch rate that would trigger moveon provisions and o Taking appropriate actions to ensure observer coverage in the longline fleet reaches recommended minimum levels with a view to progressively phase in 100 observer coverage Revive efforts to ensure the appropriate monitoring and documentation of compliance with CMM 2008 9and any revisions to the CMM ensuring that member countries are meeting minimum data collection and surveillance requirements and Reconstitute efforts to clearly communicate the ecological and economic benefits of circle hook adoption and sea turtle mitigation techniques to CCMs and their fleets Seabirds WWF recommends that the WCPFC should Adopt the seabird conservation measures recommended by ACAP as the best practice for longline operations including the use of weighted branch lines night setting and bird scaring tori lines Endorse the use of 2 out of 3 of the seabird bycatch best practices on all longline vessels fishing south ofS and Consider implementation of the seabird bycatch best practices throughout the WCPFC CA where incidence of seabird interaction warrants mitigation measures Monitoring and Compliance Catch Documentation System As part of the CDS development WWF requests that the WCPFC consider certain key features of a good CDS system including A requirement for electronic documentation to accompany all catch harvested landed transhipped traded domestically exported processed imported and reexported Complementary measures to maximize the effectiveness of the CDS through o ensuring that transhipment at sea does not compromise the effectiveness of the CDS o adopting Port State Measures implemented simultaneously with the CDS and o adopting trade restriction measures against flag States with vessels on the IUU list Parameters that include all species of tunas billfish and sharks managed by the WCPFC A commitment to continuous improvement of the CDS by investigating the benefits and feasibility of verification systems such as electronic tagging and the use of biotechnology Establishment of a capacity development fund to provide a costsharing mechanism that enables progressive cost sharing among member states and Maximizing retailer and public access to data through modern electronic tools Regional Observer Programme With respect to the continued implementation and operation of the ROP the WCPFC must Implement a binding consistent and consolidated set of standards for the ROP Conduct a phased implementation of 100 observer coverage on all fishing and support vessels Revise the Observer Provider Code of Conduct to create more substantive requirements on Observer Providers and recipients including the implementation of a schedule of fines and sanctions for non compliance to be applicable to throughout the WCPFC CA Develop and implement strong set of Minimum Observer Health Safety and Welfare Standards to be applicable to all vessels operating throughout the WCPFC CA Develop and implement a standardized administrative review system to address observer grievances that is empowered to impose sanctions andor penalties on offending vessel owners captains masters andor crew who engage in bribery threats intimidation or harassment of any kind against an observer which would otherwise impede them from conducting their official duties and WWFPANDAORGSMARTFISHING Sample Paper Sample Paper Sample Paper WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 v WWF POSITION Implement a Conservation and Management Measure stating that any finding from an administrative review that confirms an instance of bribery threats intimidation or harassment of an observer constitutes an IUU violation resulting in the vessel on which the offense occurred being placed on the IUU list Consider EM in situations deemed appropriate for enforcement and monitoring goals specific to those vessels Reconstitute the Data Consultative Committee DCC to address current data issues in the ROP including consideration of o Revisions of data fields for nontarget species to include detailed entries for seabirds turtles and sharks broken out by species in all observer reporting submissions and o Removal of redundant duplicative or otherwise obsolete data fields and Develop a more comprehensive analysis and design plan for spatially and temporally representative observer coverage of each fishery operating in the WCPFC CA IUU Measures The WCPFC must maintain strong procedures for identifying listing and retaining IUU vessels on IUU Lists to ensure that the integrity of the WCPO fisheries including Ensuring the burden of proof must always remain with the IUU offender to explicitly prove through appropriate documentation WCPFC CMM 201006 paragraph 25 ae that all obligations have been met before being removed from an IUU list Maintaining the current definition of IUU fishing for the purpose of the IUU list and Ensuring that sanctions of adequate severity are always onerous enough to prevent deter and eliminate any future IUU conduct and not just a cost of doing business Data and Statistics WWF recommends that the WCPFC should Repeat the request for CCMs who have yet to provide operational level catch and effort data provide Data Improvement Plans to the WCPFC and Request that until operational catcheffort data are provided noncompliant CCMs must provide annual catch estimates by gear and species for waters of national jurisdiction and high seas areas separately as per the scientific data provision rules of the WCPFC Miscellaneous Cost Recovery and Optimization WWF recommends that the WCPFC must Oppose the implementation of a fee for observers to attend WCPFC meetings Conclusion WWF once again calls on the WCPFC to look carefully look at our collective conduct as nations with a responsibility for managing fishery resources in the WCPFC CA With respect to each of the agenda items addressed at the WCPFC9 Regular Meeting the commission delegates must genuinely consider whether previous actions have been responsible and commendable in achieving the overarching goal of fisheries sustainability in the WCPO The WCPFC shares the distinction as the youngest RFMO but is also regarded as arguably the most effective However we all must constantly guard against the complacency and greed that leads to poor decisionmaking resulting in the collapsing fish stocks in other regions Unfortunately with some stocks in the WCPO such as bigeye tuna and oceanic whitetip sharks we are treading dangerously down a path leading to trouble The WCPFC possesses the ability and opportunity to chart the course towards sustainable fishery resources especially tuna in the WCPO The WCPFC and its subsidiary bodies must continually promote and adopt strong and effective conservation and management action to maintain and rebuild tuna stocks implement appropriate monitoring and enforcement measures promote a viable tuna industry and support vibrant coastal communities throughout the South Pacific WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 vi WWF POSITION 1986 Panda Symbol WWF World Wide Fund For Nature Formerly World Wildlife Fund WWF is a WWF Registered Trademark Our Smart Fishing Vision and Goals Vision The worlds oceans are healthy wellmanaged and full of life providing valuable resources for the welfare of humanity Goals The responsible management and trade of four key fishery populations results in recovering and resilient marine ecosystems improved livelihoods for coastal communities and strengthened food security for the Planet For more information Alfred Bubba Cook WCP Tuna Program Officer acookwwfpandaorg Tel 6799035008 WWF Smart Fishing Initiative Moenckebergstr 27 Hamburg Tel 49 40 530 200 310 wwwpandaorgsmartfishing WWFPANDAORGSMARTFISHING WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 WWF POSITION Appendix WWF Position Discussionth Regular Session of the Western Central Pacific Fisheries Commission WCPFC Manila Philippines 26 December 2012 Conservation and Management Measures WWF applauds the recent efforts of managers to seek the development and implementation of effective science based Harvest Strategies Harvest Control Rules and Reference Points HSHCRRP Stock assessments used to estimate the amount of fish in a particular stock and the rate of fishing on that stock throughout the region has continually improved WWF encourages the WCPFC to urgently pursue the implementation of these management measures as a way to reduce the logistical burden on managers while streamlining the management process and in turn ensuring the sustainability of WCPO fisheries To assist this effort WWF has created a simplified explanation of these basic management measures for distribution at this meeting Reference Points The WCPFC must formally adopt explicit Limit and Target Reference Points LTRPs for all WCPO fishery stocks under its authority Implementation of these formally designated LTRPs represents an absolute priority for the sustainable management of the fishery resources in the WCPO Existing science supports the implementation of welldefined and precautionary biologicallybased Limit Reference Points and WWF generally supports the recommendations of the SC While Target Reference Points require additional consideration of socioeconomic considerations current understanding of the biological and socioeconomic conditions does not prevent the implementation of sufficiently precautionary interim Target Reference Points at this time While LTRPs are needed in all fisheries the WCPFC should prioritise the implementation of LTRPs in at least the four key tuna species including skipjack SKJ albacore ALB bigeye BET and yellowfin YFT at this time Very simply reference points provide management decisionmakers an objective tool to determine whether a fish stock size is becoming too small or fishing pressure is becoming too great WWF notes that the WCPFC has discussed and considered reference points since 2006 and that while the SC has made several recommendations to the WCPFC on appropriate reference points the WCPFC has failed to adopt formal explicit reference points Nonetheless while stock assessments conducted by SPC use BMSY and FMSY as Limit Reference Points and provide advice to the WCPFC more explicit reference points are justified based on the available scientific information At the recent SC8 meeting in Busan one CCM expressed a preference for fishing mortalitybased ie Fbased Limit Reference Points justified by the perception that 1 fishing mortality is a parameter that the WCPFC controls 2 they are more likely to be robust against changes in recruitment and 3 they require less information about the biological responses of tunas especially at lower biomass2 While this may be relevant to tunas in this region which have not been fished down to very low levels it fails to recognize inherent vulnerabilities to the application of such a measure despite perceived aboveaverage resilience and associated SPR values While simply managing to a default MSY as a natural Limit Reference Point may seem appealing because it results in a perceived optimum level of depletion it also results in a potential failure of the management system to respond in a timely and effective way An Fbased Limit Reference Point is indeed designed to control fishing capacity or in other words the rate at which the harvest influences the stock size However under the existing management regime managing solely under an F Smart Fishing Initiative POSITION Gregg Yan WWF WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 WWF POSITION based model leaves too much room for delay in action and as a result fails to respond adequately to changes in stock size or fishing pressure For example there is typically two years between stock assessments in all WCPO fisheries In that two year time period assume that the fleet capacity either through size or efficiency expands substantially Due to the timing of the stock assessments and data availability for the meetings it could be three years or more before the WCPFC will be capable of addressing the unsustainably increased fishing mortality This dynamic can result in a severe overshoot of mortality resulting in the need for substantial painful retractions of effort and significant rebuilding measures While the uncertainties associated with biomass Bbased Limit Reference Points make them a less attractive option to some stakeholders they constitute a critical tool to ensure that stock sustainability is ensured Fbased Limit Reference Points are important and useful but not as critical as a Bbased limit because a Bbased limit ensures a biological floor that the fishery cannot go below In March 2012 WCPFC8 endorsed the hierarchical approach to identifying Limit Reference Points and tasked the Scientific Services Provider with preparing proposed Limit Reference Points for the consideration of SC8 As stated in WWFs Position Statement to WCPFC8 2012 WWF strongly urges the WCPFC to formally adopt Limit and Target Reference Points The adoption of explicitly determined Limit and Target Reference Points for at least the four key tuna species namely SKJ ALB YFT and BET is an absolute priority for the sustainable management of these resources in the WCPO WWF recommends that the WCPFC must Adopt precautionary Bbased Limit Reference Points3 preferably based on Spawning Biomass4 for all WCPO fishery stocks under its authority Adopt precautionary Fbased Limit Reference Points as an interim measure to attempt to control the exploitation rate5 Direct the SC to develop a range of alternatives for precautionary Target Reference Points for consideration in 2014 and Consider risk probability levels of breaching the Limit Reference Points of 10 or less as a precautionary measure Harvest Control Rules Under the 1995 UN Fish Stocks Agreement Convention article 5c the precautionary approach6 became a basic element of sustainable fisheries management Globally countries and regional organizations have adopted the measure as a matter of domestic and international law supporting prudent fisheries management The measure was also specifically included in the FAO Code of Conduct for Responsible Fisheries serving as a guidepost for sustainable fisheries management Furthermore the measure appears prominently in the FAO Guidelines for ecolabelling and is a critical element for consideration in ecolabelling certification schemes such as the Marine Stewardship Council MSC It is possible to make the implementation of a precautionary approach operational through preagreed management actions or specifically Harvest Control Rules that trigger management actions when stock status indicators reach predefined Reference Points Currently no explicit Harvest Control Rules exist in the WCPFC The WCPFC currently bases management on implied reference points informed by basic catch and effort data lengthfrequency and tagging data Limited management actions include limiting fishing effort through various ad hoc input controls such as the PNAs Vessel Day Scheme VDS closure of high seas pockets FAD closures and implementation of capacity limits primarily driven by concerns for BET and YFT Therefore the absence of formally agreed Harvest Control Rules is necessary for the WCPFC to fully implement management best practices At its most basic a Harvest Control Rule is simply a preagreed action or set of actions to be taken by a management body that are designed to achieve a medium or longterm Target Reference Point while avoiding reaching a Limit Reference Point Simple Harvest Control Rules can be described as an if then statement An example of a very simple Harvest Control Rule would be if the fishery stock level falls below the target level then the level of fishing must be reduced by 20 Managers may also agree in advance what the specific management actions are to reach that 20 reduction in the level of fishing such as a regional closure or gear restriction Implementing Reference Points as part of Harvest Control Rules puts in place clear decision rules which minimize excessive debate and allow managers to act quickly and decisively when the fishery reaches a predefined threshold eg Limit or Target Reference Point Furthermore Harvest Control Rules lay the foundation for developing well defined fisheries management plans that are grounded in sound science WWFPANDAORGSMARTFISHING Sample Paper Sample Paper Sample Paper WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 WWF POSITION The WCPFC must develop and implement Harvest Control Rules HCRs consisting of explicit preagreed actions designed to achieve a medium or longterm Target Reference Point and avoiding reaching a Limit Reference Point while explicitly defining intended responses to changes in stock status Welldefined HCRs must seek consistency with the Harvest Strategy and ensure that the exploitation rate is reduced as a Limit Reference Points are approached while also considering a wide range of uncertainties in their design WWF recommends that the WCPFC must Thoroughly review the SC8 recommendations for HCRs and the outcomes of the Management Objectives Workshop and Urgently pursue development and implementation of Harvest Control Rules for all stocks under its authority to be achieved by 2015 Harvest Strategies A Harvest Strategy represents the basic guidelines that stipulate how managers go about setting general harvest levels or allowable fishing levels The choice of Harvest Strategy affects the yield from the fishery and the risk of overfishing Efforts to define Reference Points and Harvest Control Rules help to clearly inform the Harvest Strategy The current rudimentary Harvest Strategy employed in the WCPFC does not contain any Harvest Control Rules and as such does not reflect best practice The WCPFC must develop welldefined Harvest Strategies or Policies based on distinct preagreed Reference Points and Harvest Control Rules The Harvest Strategies should reflect clear guidelines that stipulate how managers set general harvest levels or allowable fishing levels Any Harvest Strategy considered must contain strong precautionary directives to ensure that stock size stays above the Limit Reference Point and ideally a Target Reference Point set to achieve Maximum Economic Yield A welldeveloped Harvest Strategy should also consider details of a rebuilding plan should a stock go below the Limit Reference Point WWF recommends that the WCPFC must Develop strong sciencebased Harvest Strategies to be implemented simultaneously with the development of precautionary Reference Points and Harvest Control Rules High Seas Closures In general WWF supports the implementation of conservation and management measures where the science indicates those measures represent important contributors to tuna conservation and the health of the ecosystem they depend upon However at this time there is insufficient scientific evidence to indicate the High Seas Pocket HSP closures in the WCPO have effectively contributed to tuna conservation and management Furthermore contrary evidence suggests that effort is ultimately displaced from the HSP closure areas where bycatch rates tend to be lower and into the nearshore EEZ areas where bycatch tends to be higher WWF notes the very limited impact of the high seas closures on the overall management of tunas in the WCPO as evidenced by the overall failure of CMM 200801 despite good adherence to the HSP closure reported by the SC87 WWF agrees with the SC8 recommendation that closing areastime entirely to purse seine fishing without consideration of the fate of displaced fishing effort will not be effective for BET conservation and less profitable to purse seine operations as a whole8 The High Seas Pockets HSPs require a unique approach that is applicable to all Members Cooperating NonMembers and Participating Territories CCMs WWF recommends that the WCPFC should Develop a program to treat the HSPs as Special Management Zones SMZ subject to mutually agreed rules and measures contingent upon strict reporting and observation requirements by the WCPFC Consider a Vessel Days at Sea VDStype scheme specific to HSPs which would count against the overall effort of the CCM Rescind the waiver of the FAD closure on the domestic purse seine fisheries offered to CCMs displaced from the HSP closure areas upon transition of those areas to SMZs and Require all CCMs allowed to reenter the HSPs to implement complementary measures to the revised CMM 200801 enacted at WCPFC9 in addition to an equivalent compliance and monitoring scheme applicable to the domestic purse seine fisheries WWF Statement to the WCPFC 9th Regular Session Manila Philippines 26 December 2012 WWF POSITION Tuna Species Bigeye Tuna WCPFC8 previously adopted CMM 201101 to ensure that measures remain applicable for 2011 under CMM 200801 with several noted exemptions until 28 February 20139 Assisted by the SPC SC8 reviewed the effectiveness of CMM 201101 to reduce fishing mortality of bigeye tuna BET the effectiveness of CMM 200801 and provided scientific advice to the WCPFC for the development of a revised CMM for BET YFT and SKJ tuna stocks SPC also approximated the impact of the various exemptions contained within CMM 200801 estimating that if the CMM was implemented without exemptions approximately half of the overfishing that is estimated could occur under the CMM as written could be removed reduction of BET FFMSY from 135 to 11710 The SC8 maintains that the catch of small BET YFT and SKJ can be significantly reduced by purse seines switching from FAD sets to unassociated sets11 Nonetheless the SC8 specifically noted that CMM200801 has not reduced the fishing mortality for BET to the level intended and supports the need for additional or alternative targeted measures to reduce the fishing mortality on BET12 Since a reduction in fishing mortality on BET has not reached the intended level additional targeted measures to reduce the fishing mortality on BET must be considered for all gear types Indeed the FFA member states emphatically support the need for additional or alternative targeted measures to reduce the fishing mortality on BET13 In the event that these additional measures continue to fail to adequately address BET mortality the WCPFC must consider even stronger measures andor fewer exemptions to the rules If overfishing of BET continues to occur the WCPFC must consider more extreme measures including a complete periodic closure to all purse seine fishing with no or at least very minimal exemptions For the closure to be meaningful the WCPFC must impose the closure around the time of the greatest catchcatch rates of juvenile BET and over a length of time sufficient to bring BET mortality near the reference point While it may seem drastic another RFMO has previously successfully used a complete periodic closure to control BET mortality The IATTC successfully implemented a similar measure to control the BET mortality within a small percentage of the reference point used in their management thereby proving its efficacy in an analogous situation WWF acknowledges that this action could potentially 
